Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,4.5,4.5,4.4,4.2,4.1,4.1,4.2,4.1,4.2,4.1,4.1,4.1,NULL
Austria,5.7,5.5,5.2,5.2,4.9,4.9,4.8,4.6,4.7,4.5,4.7,4.9,4.7
Belgium,5.5,5.3,5.3,5.1,5.1,4.7,5,4.7,4.5,4.5,4.5,4.9,4.3
Canada,4.3,4.3,4.2,4.1,4.2,4,4.1,4.3,4.2,4.2,4.5,4.8,NULL
Chile,5.8,5.8,5.8,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.5,5.5,5.5
Colombia,7.1,7,6.9,6.8,6.8,6.7,6.6,6.6,6.4,6.4,6.4,6.4,6.3
Costa Rica,5,5,5,5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
Czechia,6.4,6.3,6.1,6.1,6.2,5.9,6,5.9,5.8,5.8,6,6.4,5.8
Denmark,4.2,4.1,4,4.1,4.1,3.9,3.8,3.9,3.8,4,3.9,3.7,3.7
Estonia,9.9,9.9,10.1,8.9,9.5,9,8.9,8.8,8.7,8.5,8.6,8.7,8.7
Finland,6.6,6.5,6,6.1,5.7,5.7,5.8,5.6,5.4,5.5,5.6,5.3,5.1
France,7,6.9,6.7,6.6,6.6,6.4,6.3,6.1,6.1,6,6.1,6.2,5.8
Germany,5,5.2,5,4.9,4.9,4.8,4.9,4.7,4.7,4.7,4.8,4.9,NULL
Greece,5.3,5.6,5.4,5.3,5.3,5.2,5.1,5.1,5.1,5,5.1,5.5,5.2
Hungary,7.9,7.5,7.1,6.9,7.1,6.7,7.1,6.8,6.9,6.6,6.7,7.1,6.8
Iceland,4.3,3.4,2.7,3.2,3.2,2.6,3.7,3.2,3.2,3,3,2.8,2.4
Ireland,4.6,4.4,4.4,4.2,4.2,3.8,3.8,3.6,3.7,3.9,3.6,3.8,NULL
Israel,3.9,3.6,3.7,3.6,3.8,4,3.5,4,3.9,3.7,4.1,4.1,4
Italy,5.2,5.1,5,4.9,4.9,4.6,4.6,4.4,4.4,4.3,4.5,4.4,4.1
Japan,6.8,6.5,6.5,6.4,6.3,6.2,6.2,6.2,6.1,6,6.2,6.1,NULL
Korea,6.8,6.7,6.6,6.5,6.4,6.2,6.1,6,6,6,6,6,NULL
Latvia,10.1,10.2,10,9.6,10.3,9.8,9.8,9.9,9.6,9.2,9.4,9.8,9.8
Lithuania,11.3,11.2,11.2,11.1,10.9,10.5,10.6,9.8,9.8,9.6,10,9.3,8.8
Luxembourg,5.6,5.1,4.7,4.1,5.8,4.7,5.3,4.5,4.5,5,4.6,4.3,4.4
Mexico,6.3,6.2,6,5.9,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.8,NULL
Netherlands,4.1,3.7,3.7,3.7,3.5,3.3,3.2,3.2,3.1,3.1,3.4,3.3,2.9
New Zealand,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.6,3.6,3.5,NULL
Norway,4.3,4.5,4,4,4.1,3.7,3.5,3.3,3.4,3.4,3.3,3,3.2
Poland,8.5,8.6,8.5,8.2,8,8.1,8.1,7.9,8,7.8,8.2,8,7.8
Portugal,6.4,6.5,6.3,6.4,6.4,6.2,6.2,6.2,6.2,6.1,6.1,5.9,5.7
Slovak Republic,7.5,7.5,7.4,7.2,7.2,7.1,6.9,6.9,6.9,6.9,6.9,7,6.9
Slovenia,6.7,6.5,6.2,6.4,5.9,6.1,6.1,5.8,5.9,5.8,5.6,6.1,5.5
Spain,6.3,6.1,6,5.9,5.8,5.6,5.8,5.5,5.6,5.6,5.6,5.8,5.5
Sweden,4,3.9,3.7,3.6,3.8,3.7,3.5,3.3,3.4,3.3,3.6,3.6,3.3
Switzerland,4.6,4.5,4.3,4.3,4.3,4.3,3.9,4,3.8,3.7,4.1,4,3.8
TÃ¼rkiye,5,5.1,5.2,5.4,5.4,5.4,5.4,5.5,5.4,5.4,NULL,NULL,NULL
United Kingdom,4,3.9,3.7,3.8,3.7,3.7,3.7,3.7,3.7,3.7,4,NULL,NULL
United States,4.8,4.8,4.8,4.8,4.8,4.8,4.9,5,5,5.1,5.7,5.8,NULL
Argentina,6.4,6.3,6.5,7.1,6.9,6.6,6.9,6.8,6.6,6.7,6.8,6.8,6.4
Brazil,6.6,6.8,6.6,6.6,6.4,6.2,6.5,6.7,6.4,6.3,6.3,6.7,6.4
Bulgaria,7.1,7.1,7,7.3,6.9,7,7.2,7,7.1,7.2,7.5,7.1,7.3
China,5.3,5.2,5.2,5.4,5.3,5.4,5.4,5.5,5.9,5.6,5.5,5.8,5.7
Croatia,6.5,6.6,6.7,6.5,6.3,6.1,6.3,6.1,6.6,6.1,6.2,6.2,6.2
India,3.2,3.3,3.3,3.3,3.1,2.9,2.8,2.7,2.7,2.7,2.9,3.2,3.1
Indonesia,3.8,3.5,3.5,3.6,4.1,3.9,3.8,3.9,3.9,4.1,4.1,4.3,4.2
Peru,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4.3,4.4,4.5,4.6,6,4.6
Romania,7.7,7.4,7.2,7.1,7.4,7.2,7.4,7.4,7.5,7.6,7.9,7.4,7.8
Russia,11.8,11.6,11.3,11.2,11.2,10.8,10.6,10.1,10.1,9.9,NULL,NULL,NULL
South Africa,5,5.2,5.4,5.6,5.9,6.2,6.1,6.5,6.4,6.5,6.3,5.8,5.5
